"S No",Priority,"KPI List",H/L,LYD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,"Current Target","Target 2023","Target 2024","Bronze Benchmark",Vision,Pillar
179,4,"Volume Packed",H,86541.00,111491.00,,,,,,,,,,,,111491.00,89438.00,,,,0,SC
180,4,"Volume Packed - KEG",H,2751.00,2504.00,,,,,,,,,,,,2504.00,,,,,0,SC
181,1,"Supply Chain Cost - External Warehousing Cost",L,1.26,1.17,4.96,,,,,,,,,,,2.28,1.53,,,,0,SC
182,1,"Supply Chain Cost- 3rd Party Cost",L,1.60,1.80,2.35,,,,,,,,,,,2.04,1.28,,,,0,SC
183,3,"PM Conformance to Schedule -  PSM",H,93.75,100.00,,,,,,,,,,,,100.00,80.00,80.00,80.00,,80,PM
184,4,"Volume Sold",H,88306.00,116086.00,,,,,,,,,,,,116086.00,,,,,0,SC
185,4,"Packaging Conformance to Schedule",H,85.80,81.00,999999.99,123456.00,123456.00,,,,,,,,,81.00,90.00,,,,0,Plan
186,4,"(Can) Asset Utilisation",H,,,,,,,,,,,,,,,,,,,0,SC
187,4,"HeiQuest Compliance - Packaging",H,95.87,95.87,95.87,,,,,,,,,,,95.87,95.00,,,,,"AM Packaging"
188,4,"HeiQuest Completion - Packaging",H,96.97,96.97,96.97,,,,,,,,,,,96.97,100.00,,,,100,"AM Packaging"
189,2,"Total Justified Complaints - Keg",L,,3.00,4.00,,,,,,,,,,,,,,,,0,PQ
190,2,"Total Justified Complaints - Bottle/Can",L,,,,,,,,,,,,,,,0.00,,,,0,PQ
191,4,"Heineken TTS - 3 months",H,,,,,,,,,,,,,,,6.10,,,,0,PQ
192,4,"Heineken 0.0 TTS - 3 months",H,,,,,,,,,,,,,,,6.15,,,,0,PQ
193,4,"FTR - Laboratory",H,,,,,,,,,,,,,,,98.50,,,,0,PQ
194,4,"Packaging Quality Index",H,,,,,,,,,,,,,,,100.00,,,,0,PQ
195,4,"Heineken Local Market Freshness",L,,,85.00,,,,,,,,,,,,60.00,,,,0,PQ
196,4,"Total Packaging Quality",H,,,100.00,,,,,,,,,,,,99.00,,,,0,PQ
197,4,"Batches/lots no blockages",H,,,,,,,,,,,,,,,99.50,,,,0,PQ
198,4,"CO2 Emissions",L,,999999.99,123456789.00,123456789.00,,,,,,,,,,,7.82,,,,0,ES
199,4,"CO2 Emissions",L,,999999.99,123456789.00,123456789.00,,,,,,,,,,,7.82,,,,0,SC
200,2,"CFR PA",H,87.71,999999.99,,,,,,,,,,,,,85.00,32.00,323.00,,,Plan
